Date,Open,High,Low,Close,Volume,Adj Close
2/19/2016,132.360001,133.649994,130.839996,133.080002,5108500,133.080002
2/18/2016,130,134,129.75,132.449997,9924900,132.449997
2/17/2016,123.709999,126.57,123.25,126.099998,4805500,126.099998
2/16/2016,121.830002,123.089996,121.339996,122.739998,4015600,122.739998
2/12/2016,119.260002,121.050003,118.349998,121.040001,4899000,121.040001
2/11/2016,118.779999,119.660004,116.900002,117.849998,7196100,117.849998
2/10/2016,125,125.290001,119.839996,120.190002,6435100,120.190002
2/9/2016,126.120003,126.93,123.769997,124.07,5957200,124.07
2/8/2016,126,127.510002,124.129997,126.980003,7364000,126.980003
2/5/2016,127.220001,128.639999,125.849998,128.570007,7177700,127.270009
2/4/2016,125.080002,128.5,125,127.650002,5266500,126.359305
2/3/2016,123.989998,125.449997,122.290001,124.720001,6223500,123.458931
2/2/2016,123.669998,124.139999,122.639999,122.940002,3287300,121.69693
2/1/2016,124.400002,125.290001,123.709999,124.830002,3574900,123.567819
1/29/2016,123.279999,124.790001,122.959999,124.790001,8248100,123.528223
1/28/2016,121.260002,122.830002,121.010002,122.220001,3942500,120.984209
1/27/2016,122.730003,123.370003,120.650002,120.959999,5026400,119.736947
1/26/2016,122.25,123.610001,122.239998,122.589996,4617800,121.350463
1/25/2016,122.099998,124.230003,121.639999,122.080002,5446000,120.845625
1/22/2016,124.669998,124.739998,121.769997,122.5,9238400,121.261376
1/21/2016,121.300003,125.099998,120.580002,122.910004,8851600,121.667234
1/20/2016,118.459999,123.989998,118,121.860001,16157800,120.627848
1/19/2016,130.110001,132.100006,128.059998,128.110001,9979600,126.814653
1/15/2016,130.009995,130.880005,128.869995,130.029999,9008500,128.715238
1/14/2016,131.929993,133.789993,131.220001,132.910004,5709600,131.566122
1/13/2016,133.5,134.279999,131.100006,131.169998,4700100,129.84371
1/12/2016,133.649994,133.779999,131.130005,132.899994,5078700,131.556214
1/11/2016,131.809998,133.820007,131.759995,133.229996,4974400,131.882879
1/8/2016,133.179993,133.820007,131.320007,131.630005,4762700,130.299066
1/7/2016,133.699997,135.020004,132.429993,132.860001,7025800,131.516625
1/6/2016,134.380005,135.580002,133.619995,135.169998,4310900,133.803266
1/5/2016,136.759995,136.889999,134.850006,135.850006,3924800,134.476398
1/4/2016,135.600006,135.970001,134.240005,135.949997,5229400,134.575378
12/31/2015,139.070007,139.100006,137.570007,137.619995,3462100,136.22849
12/30/2015,139.580002,140.440002,139.220001,139.339996,2989400,137.9311
12/29/2015,138.25,140.059998,138.199997,139.779999,3943700,138.366653
12/28/2015,137.740005,138.039993,136.539993,137.610001,3143400,136.218597
12/24/2015,138.429993,138.880005,138.110001,138.25,1495200,136.852125
12/23/2015,138.300003,139.309998,138.110001,138.539993,5164900,137.139186
12/22/2015,135.880005,138.190002,135.649994,137.929993,4263800,136.535353
12/21/2015,135.830002,135.830002,134.020004,135.5,5617500,134.129931
12/18/2015,136.410004,136.960007,134.270004,134.899994,10026100,133.535991
12/17/2015,139.350006,139.5,136.309998,136.75,4089500,135.367292
12/16/2015,139.119995,139.649994,137.789993,139.289993,4345500,137.881603
12/15/2015,137.399994,138.970001,137.279999,137.789993,4207900,136.396769
12/14/2015,135.309998,136.139999,134.020004,135.929993,5143800,134.555576
12/11/2015,135.229996,135.440002,133.910004,134.570007,5333800,133.209341
12/10/2015,137.029999,137.850006,135.720001,136.779999,4222300,135.396987
12/9/2015,137.380005,139.839996,136.229996,136.610001,4615000,135.228708
12/8/2015,138.279999,139.059998,137.529999,138.050003,3905200,136.65415
12/7/2015,140.160004,140.410004,138.809998,139.550003,3279400,138.138983
12/4/2015,138.089996,141.020004,137.990005,140.429993,4571600,139.010075
12/3/2015,140.100006,140.729996,138.190002,138.919998,5909600,137.515349
12/2/2015,140.929993,141.210007,139.5,139.699997,3725400,138.287461
12/1/2015,139.580002,141.399994,139.580002,141.279999,4195100,139.851487
11/30/2015,138.610001,139.899994,138.520004,139.419998,4545600,138.010293
11/27/2015,138,138.809998,137.210007,138.460007,1415800,137.060008
11/25/2015,138.369995,138.429993,137.380005,138,3238200,136.604653
11/24/2015,137.649994,139.339996,137.309998,138.600006,3407700,137.198592
11/23/2015,138.529999,138.869995,137.119995,138.460007,5137900,137.060008
11/20/2015,137.369995,138.919998,137.25,138.5,5176400,137.099597
11/19/2015,136.210007,137.740005,136.009995,136.740005,4753600,135.357398
11/18/2015,134.789993,135.910004,134.259995,135.820007,4149200,134.446702
11/17/2015,134.220001,134.820007,133.309998,133.820007,2815100,132.466925
11/16/2015,131.789993,134.089996,131.789993,133.710007,4190800,132.358036
11/13/2015,132.949997,133,131.649994,131.75,4613800,130.417848
11/12/2015,134.699997,134.699997,133.009995,133.039993,4701400,131.694798
11/11/2015,136.089996,136.199997,134.5,135.020004,3164800,133.654788
11/10/2015,135.360001,135.740005,134.119995,135.470001,4520800,134.100235
11/9/2015,137.919998,138.080002,134.880005,135.309998,8075600,133.941849
11/6/2015,138.600006,139.550003,137.869995,138.25,4744900,136.852125
11/5/2015,141.610001,142.380005,139.630005,139.889999,5096900,137.188682
11/4/2015,142.550003,142.649994,141.300003,141.630005,3516900,138.895088
11/3/2015,140.020004,142.800003,139.899994,141.880005,4349400,139.14026
11/2/2015,140.5,140.520004,139.570007,140.369995,3822200,137.659409
10/30/2015,140.440002,141.330002,139.899994,140.080002,3984000,137.375016
