Date,Open,High,Low,Close,Adj Close,Volume
5/2/2016,663.919983,685.5,656,673.950012,673.950012,25386800
5/9/2016,673.950012,722.450012,671.409973,709.919983,709.919983,27237600
5/16/2016,710.130005,714.469971,688.76001,702.799988,702.799988,20779300
5/23/2016,704.25,716.599976,696.419983,712.23999,712.23999,13592500
5/30/2016,712.330017,728.280029,711.320007,725.539978,725.539978,13275300
6/6/2016,726.5,731.5,714.210022,717.909973,717.909973,13256700
6/13/2016,714.01001,722.559998,699.179993,706.390015,706.390015,17564300
6/20/2016,713.5,722.119995,692.200012,698.960022,698.960022,18532700
6/27/2016,692.01001,728,682.119995,725.679993,725.679993,18450600
7/4/2016,722.799988,746.099976,719.609985,745.809998,745.809998,12744600
7/11/2016,750,757.340027,734.049988,735.440002,735.440002,18473200
7/18/2016,735.48999,751.280029,728.719971,744.859985,744.859985,11980500
7/25/2016,746.549988,766,732.75,758.809998,758.809998,22516800
8/1/2016,759.869995,770.5,750.349976,765.97998,765.97998,16645600
8/8/2016,766.809998,773.75,761.02002,772.559998,772.559998,9049700
8/15/2016,771.900024,772.039978,756.890015,757.309998,757.309998,9416200
8/22/2016,757.5,770,752.099976,769,769,9347300
8/29/2016,768.719971,776,764,772.440002,772.440002,9515700
9/5/2016,774.039978,790.789978,760.109985,760.140015,760.140015,12432200
9/12/2016,757.349976,780.460022,756,778.52002,778.52002,17298100
9/19/2016,779.969971,807.75,771,805.75,805.75,13385400
9/26/2016,801.799988,839.950012,797.150024,837.309998,837.309998,20245900
10/3/2016,836,847.210022,830.26001,839.429993,839.429993,14299000
10/10/2016,843.25,845.200012,821.210022,822.960022,822.960022,13886900
10/17/2016,821.5,823.26001,803.099976,818.98999,818.98999,13909700
10/24/2016,824.950012,843.090027,774.609985,776.320007,776.320007,29554900
10/31/2016,781.030029,800.840027,753.22998,755.049988,755.049988,24739800
11/7/2016,771.640015,791.73999,717.700012,739.01001,739.01001,37329700
11/14/2016,745.51001,767.73999,710.099976,760.159973,760.159973,25789400
11/21/2016,766,792.400024,765.109985,780.369995,780.369995,15303300
11/28/2016,776.98999,777,736.700012,740.340027,740.340027,20564300
12/5/2016,745,773.789978,742,768.659973,768.659973,17454800
12/12/2016,766.400024,782.460022,754,757.77002,757.77002,22354100
12/19/2016,758.890015,774.390015,756.159973,760.590027,760.590027,12386600
12/26/2016,763.400024,780,748.280029,749.869995,749.869995,13237400
1/2/2017,757.919983,799.440002,747.700012,795.98999,795.98999,17847900
1/9/2017,798,821.650024,789.51001,817.140015,817.140015,17663100
1/16/2017,815.700012,816.02002,803.440002,808.330017,808.330017,11941700
1/23/2017,806.799988,843.840027,805.080017,835.77002,835.77002,16276800
1/30/2017,833,842.48999,804,810.200012,810.200012,28954000
2/6/2017,809.799988,828,803,827.460022,827.460022,15135900
2/13/2017,831.619995,847.27002,828.549988,845.070007,845.070007,15760900
2/20/2017,848.840027,860.859985,837.75,845.23999,845.23999,13274700
2/27/2017,842.380005,854.830017,839.669983,849.880005,849.880005,12340600
3/6/2017,845.22998,857.349976,841.119995,852.460022,852.460022,11629100
3/13/2017,851.77002,855.690002,847.109985,852.309998,852.309998,11829200
3/20/2017,851.51001,862.799988,839.049988,845.609985,845.609985,13415600
3/27/2017,838.070007,890.349976,833.5,886.539978,886.539978,17003500
4/3/2017,888,923.719971,885.419983,894.880005,894.880005,25970400
4/10/2017,899.630005,911.23999,884.48999,884.669983,884.669983,11827700
4/17/2017,887.5,910.5,887.5,898.530029,898.530029,13959000
4/24/2017,908.679993,949.590027,903,924.98999,924.98999,21782600
5/1/2017,927.799988,954.400024,927.799988,934.150024,934.150024,18182800
5/8/2017,940.950012,962.789978,939.210022,961.349976,961.349976,14594300
5/15/2017,958.72998,970.059998,944.119995,959.840027,959.840027,20453700
5/22/2017,964,999,962.900024,995.780029,995.780029,15795000
5/29/2017,996.51001,1008.47998,982.159973,1006.72998,1006.72998,13383300
6/5/2017,1007.22998,1016.5,927,978.309998,978.309998,19304900
6/12/2017,967,999.75,945,987.710022,987.710022,34848700
6/19/2017,1017,1017,989.900024,1003.73999,1003.73999,17175200
6/26/2017,1008.5,1009.799988,965.25,968,968,18599500
7/3/2017,972.789978,980.109985,951,978.76001,978.76001,12465100
7/10/2017,985,1008.549988,983.5,1001.809998,1001.809998,15120900
7/17/2017,1004.690002,1034.969971,1003.809998,1025.670044,1025.670044,16516300
7/24/2017,1028.339966,1083.310059,1001,1020.039978,1020.039978,27358000
7/31/2017,1019.049988,1019.049988,981.72998,987.580017,987.580017,21980800
8/7/2017,990.650024,996.280029,951.380005,967.98999,967.98999,18301200
8/14/2017,978.409973,991.73999,954.650024,958.469971,958.469971,15651500
8/21/2017,957.570007,967.929993,941.140015,945.26001,945.26001,17103300
8/28/2017,946.539978,984.5,936.330017,978.25,978.25,14243000
9/4/2017,975.400024,980.590027,960.369995,965.900024,965.900024,10185200
9/11/2017,974.460022,1000,974.219971,986.789978,986.789978,15716000
9/18/2017,990.400024,992.789978,954.419983,955.099976,955.099976,13950600
9/25/2017,949.309998,964.830017,931.75,961.349976,961.349976,16904100
10/2/2017,964,995.75,950.369995,989.580017,989.580017,14648200
10/9/2017,993.23999,1008.440002,980.099976,1002.940002,1002.940002,14859400
10/16/2017,1008.440002,1022.309998,980.23999,982.909973,982.909973,12301600
10/23/2017,986.72998,1105.579956,962.5,1100.949951,1100.949951,31434800
10/30/2017,1095.01001,1122.790039,1086.869995,1111.599976,1111.599976,21282000
11/6/2017,1109.150024,1135.540039,1108.77002,1125.349976,1125.349976,14564200
11/13/2017,1123,1139.900024,1121.630005,1129.880005,1129.880005,14612200
11/20/2017,1129.77002,1186.839966,1122.550049,1186,1186,11726600
